Key,Source,Context,Changes,English,schinese
You are mastering the art of robotics. Your turret control range and magazine size increases.,progression,skills,New,You are mastering the art of robotics. Your turret control range and magazine size increases.,你正在学习机器人技术。你的炮塔控制范围和弹匣容量增加。
"Increase the entity damage by 7%, magazine size by 12 and the maximum active range of junk turrets by 12%.",progression,skills,New,"Increase the entity damage by 7%, magazine size by 12 and the maximum active range of junk turrets by 12%.",增加7%的实体伤害，增加12发弹匣容量，增加废品炮塔的最大有效射程12%。
"Increase the entity damage by 14%, magazine size by 24 and the maximum active range of junk turrets by 24%.",progression,skills,New,"Increase the entity damage by 14%, magazine size by 24 and the maximum active range of junk turrets by 24%.",增加14%的实体伤害，增加14发弹匣容量，增加废品炮塔的最大有效射程24%。
"Increase the entity damage by 21%, magazine size by 36 and the maximum active range of junk turrets by 36%.",progression,skills,New,"Increase the entity damage by 21%, magazine size by 36 and the maximum active range of junk turrets by 36%.",增加21%的实体伤害，增加21发弹匣容量，增加废品炮塔的最大有效射程36%。
"Increase the entity damage by 28%, magazine size by 48 and the maximum active range of junk turrets by 48%.",progression,skills,New,"Increase the entity damage by 28%, magazine size by 48 and the maximum active range of junk turrets by 48%.",增加28%的实体伤害，增加28发弹匣容量，增加废品炮塔的最大有效射程48%。
"Increase the entity damage by 35%, magazine size by 60 and the maximum active range of junk turrets by 60%.",progression,skills,New,"Increase the entity damage by 35%, magazine size by 60 and the maximum active range of junk turrets by 60%.",增加35%的实体伤害，增加60发弹匣容量，增加废品炮塔的最大有效射程60%。
"Increase the entity damage by 42%, magazine size by 72 and the maximum active range of junk turrets by 72%.",progression,skills,New,"Increase the entity damage by 42%, magazine size by 72 and the maximum active range of junk turrets by 72%.",增加42%的实体伤害，增加72发弹匣容量，增加废品炮塔的最大有效射程72%。
"Very crude systems can accomplish an awful lot! Increase the entity damage by 50%, magazine size by 100, the maximum active range of junk turrets by 100% and can have 1 additional active turret.",progression,skills,New,"Very crude systems can accomplish an awful lot! Increase the entity damage by 50%, magazine size by 100, the maximum active range of junk turrets by 100% and can have 1 additional active turret.",非常简陋的系统也能完成很多事情！\n增加50%的实体伤害，增加100发弹匣容量，增加废品炮塔的最大有效射程100%。
Requires Mother Lode lvl 1,progression,skills,New,Requires Mother Lode lvl 1,母矿等级 1
Requires Mother Lode lvl 2,progression,skills,New,Requires Mother Lode lvl 2,"母矿等级 2 "
Requires Mother Lode lvl 3,progression,skills,New,Requires Mother Lode lvl 3,母矿等级 3
Requires Mother Lode lvl 4,progression,skills,New,Requires Mother Lode lvl 4,母矿等级 4
Requires The Penetrator lvl 1,progression,skills,New,Requires The Penetrator lvl 1,穿透护甲等级 1
Requires The Penetrator lvl 2,progression,skills,New,Requires The Penetrator lvl 2,穿透护甲等级 2
Requires The Penetrator lvl 3,progression,skills,New,Requires The Penetrator lvl 3,穿透护甲等级 3
Requires Lucky Looter lvl 1,progression,skills,New,Requires Lucky Looter lvl 1,幸运掠夺者等级 1
Requires Lucky Looter lvl 2,progression,skills,New,Requires Lucky Looter lvl 2,幸运掠夺者等级 2
Requires Lucky Looter lvl 3,progression,skills,New,Requires Lucky Looter lvl 3,幸运掠夺者等级 3
Requires Lucky Looter lvl 4,progression,skills,New,Requires Lucky Looter lvl 4,幸运掠夺者等级 4
Requires Better Barter lvl 1,progression,skills,New,Requires Better Barter lvl 1,贸易砍价等级 1
Requires Better Barter lvl 2,progression,skills,New,Requires Better Barter lvl 2,贸易砍价等级 2
Requires Better Barter lvl 3,progression,skills,New,Requires Better Barter lvl 3,贸易砍价等级 3
Requires Better Barter lvl 4,progression,skills,New,Requires Better Barter lvl 4,贸易砍价等级 4
Requires Light Armor lvl 1,progression,skills,New,Requires Light Armor lvl 1,轻甲等级 1
Requires Light Armor lvl 2,progression,skills,New,Requires Light Armor lvl 2,轻甲等级 2
Requires Light Armor lvl 3,progression,skills,New,Requires Light Armor lvl 3,轻甲等级 3
Requires Heavy Armor lvl 1,progression,skills,New,Requires Heavy Armor lvl 1,重甲等级 1
Requires Heavy Armor lvl 2,progression,skills,New,Requires Heavy Armor lvl 2,重甲等级 2
Requires Heavy Armor lvl 3,progression,skills,New,Requires Heavy Armor lvl 3,重甲等级 3
Requires Spear Master lvl 1,progression,skills,New,Requires Spear Master lvl 1,长矛大师等级 1
Requires Spear Master lvl 2,progression,skills,New,Requires Spear Master lvl 2,长矛大师等级 2
Requires Spear Master lvl 3,progression,skills,New,Requires Spear Master lvl 3,长矛大师等级 3
Requires Spear Master lvl 4,progression,skills,New,Requires Spear Master lvl 4,长矛大师等级 4
Requires Pummel Pete lvl 1,progression,skills,New,Requires Pummel Pete lvl 1,击球手佩特等级 1
Requires Pummel Pete lvl 2,progression,skills,New,Requires Pummel Pete lvl 2,击球手佩特等级 2
Requires Pummel Pete lvl 3,progression,skills,New,Requires Pummel Pete lvl 3,击球手佩特等级 3
Requires Pummel Pete lvl 4,progression,skills,New,Requires Pummel Pete lvl 4,击球手佩特等级 4
Requires Skull Crusher lvl 1,progression,skills,New,Requires Skull Crusher lvl 1,头骨粉碎者等级 1
Requires Skull Crusher lvl 2,progression,skills,New,Requires Skull Crusher lvl 2,头骨粉碎者等级 2
Requires Skull Crusher lvl 3,progression,skills,New,Requires Skull Crusher lvl 3,头骨粉碎者等级 3
Requires Skull Crusher lvl 4,progression,skills,New,Requires Skull Crusher lvl 4,头骨粉碎者等级 4
Requires Miner 69'er lvl 1,progression,skills,New,Requires Miner 69'er lvl 1,矿业69族等级 1
Requires Miner 69'er lvl 2,progression,skills,New,Requires Miner 69'er lvl 2,矿业69族等级 2
Requires Miner 69'er lvl 3,progression,skills,New,Requires Miner 69'er lvl 3,矿业69族等级 3
Requires Miner 69'er lvl 4,progression,skills,New,Requires Miner 69'er lvl 4,矿业69族等级 4
Requires Brawler lvl 1,progression,skills,New,Requires Brawler lvl 1,搏斗家等级 1
Requires Brawler lvl 2,progression,skills,New,Requires Brawler lvl 2,搏斗家等级 2
Requires Brawler lvl 3,progression,skills,New,Requires Brawler lvl 3,搏斗家等级 3
Requires Brawler lvl 4,progression,skills,New,Requires Brawler lvl 4,搏斗家等级 4
Requires Deep Cuts lvl 1,progression,skills,New,Requires Deep Cuts lvl 1,深度刀伤等级 1
Requires Deep Cuts lvl 2,progression,skills,New,Requires Deep Cuts lvl 2,深度刀伤等级 2
Requires Deep Cuts lvl 3,progression,skills,New,Requires Deep Cuts lvl 3,深度刀伤等级 3
Requires Deep Cuts lvl 4,progression,skills,New,Requires Deep Cuts lvl 4,深度刀伤等级 4
Requires Electrocutioner lvl 1,progression,skills,New,Requires Electrocutioner lvl 1,电击处刑官等级 1
Requires Electrocutioner lvl 2,progression,skills,New,Requires Electrocutioner lvl 2,电击处刑官等级 2
Requires Electrocutioner lvl 3,progression,skills,New,Requires Electrocutioner lvl 3,电击处刑官等级 3
Requires Electrocutioner lvl 4,progression,skills,New,Requires Electrocutioner lvl 4,电击处刑官等级 4
Requires Dead Eye lvl 1,progression,skills,New,Requires Dead Eye lvl 1,死神之眼等级 1
Requires Dead Eye lvl 2,progression,skills,New,Requires Dead Eye lvl 2,死神之眼等级 2
Requires Dead Eye lvl 3,progression,skills,New,Requires Dead Eye lvl 3,死神之眼等级 3
Requires Dead Eye lvl 4,progression,skills,New,Requires Dead Eye lvl 4,死神之眼等级 4
Requires Demolitions Expert lvl 1,progression,skills,New,Requires Demolitions Expert lvl 1,爆破专家等级 1
Requires Demolitions Expert lvl 2,progression,skills,New,Requires Demolitions Expert lvl 2,爆破专家等级 2
Requires Demolitions Expert lvl 3,progression,skills,New,Requires Demolitions Expert lvl 3,爆破专家等级 3
Requires Demolitions Expert lvl 4,progression,skills,New,Requires Demolitions Expert lvl 4,爆破专家等级 4
Requires Boomstick lvl 1,progression,skills,New,Requires Boomstick lvl 1,霰弹枪手等级 1
Requires Boomstick lvl 2,progression,skills,New,Requires Boomstick lvl 2,霰弹枪手等级 2
Requires Boomstick lvl 3,progression,skills,New,Requires Boomstick lvl 3,霰弹枪手等级 3
Requires Boomstick lvl 4,progression,skills,New,Requires Boomstick lvl 4,霰弹枪手等级 4
Requires Machine Gunner lvl 1,progression,skills,New,Requires Machine Gunner lvl 1,机枪射手等级 1
Requires Machine Gunner lvl 2,progression,skills,New,Requires Machine Gunner lvl 2,机枪射手等级 2
Requires Machine Gunner lvl 3,progression,skills,New,Requires Machine Gunner lvl 3,机枪射手等级 3
Requires Machine Gunner lvl 4,progression,skills,New,Requires Machine Gunner lvl 4,机枪射手等级 4
Requires Archery lvl 1,progression,skills,New,Requires Archery lvl 1,弓术等级 1
Requires Archery lvl 2,progression,skills,New,Requires Archery lvl 2,弓术等级 2
Requires Archery lvl 3,progression,skills,New,Requires Archery lvl 3,弓术等级 3
Requires Archery lvl 4,progression,skills,New,Requires Archery lvl 4,弓术等级 4
Requires Gunslinger lvl 1,progression,skills,New,Requires Gunslinger lvl 1,枪手等级 1
Requires Gunslinger lvl 2,progression,skills,New,Requires Gunslinger lvl 2,枪手等级 2
Requires Gunslinger lvl 3,progression,skills,New,Requires Gunslinger lvl 3,枪手等级 3
Requires Gunslinger lvl 4,progression,skills,New,Requires Gunslinger lvl 4,枪手等级 4
Requires Robotics Inventor lvl 1,progression,skills,New,Requires Robotics Inventor lvl 1,机器人发明家等级 1
Requires Robotics Inventor lvl 2,progression,skills,New,Requires Robotics Inventor lvl 2,机器人发明家等级 2
Requires Robotics Inventor lvl 3,progression,skills,New,Requires Robotics Inventor lvl 3,机器人发明家等级 3
Requires Robotics Inventor lvl 4,progression,skills,New,Requires Robotics Inventor lvl 4,机器人发明家等级 4
